book_name,book_author,book_narrator,book_price,book_imagelink
The Scrum Master’s Path: 2 Books in 1,Liam Taylor,Jeff Bower,$19.95,https://m.media-amazon.com/images/I/51Bx5zn-J4S._SL500_.jpg
Computer Programming and Cyber Security for Beginners,Zach Codings,Donald Cuddington,$29.95,https://m.media-amazon.com/images/I/511KH-QzPeL._SL500_.jpg
"Machine Learning and Artificial Intelligence, Two-Book Bundle",Mark Howard,Robert Grothe,$14.95,https://m.media-amazon.com/images/I/51Hy2v41c3L._SL500_.jpg
What Is Artificial Intelligence? Three Books in One,Klay Robinson,Michael Stuhre,$24.95,https://m.media-amazon.com/images/I/51+3TQEHzQL._SL500_.jpg
"A Simple Introduction to Data Science, Book 2",Lars Nielsen,John Eastman,$6.95,https://m.media-amazon.com/images/I/51He0C8aJ4L._SL500_.jpg
Fundamentals of Software Architecture,Mark Richards,Benjamin Lange,$49.99,https://m.media-amazon.com/images/I/51d0yhmnXQL._SL500_.jpg
JavaScript: 3 Books in 1,Andy Vickler,Chuck Roe,$24.95,https://m.media-amazon.com/images/I/51eeNajD-5S._SL500_.jpg
Machine Learning: 2 Book in 1,Gabriel Baker,J.M. Debord,$19.95,https://m.media-amazon.com/images/I/51NMK8ocHbL._SL500_.jpg
"Computer Programming: This Book Includes: SQL, Linux, Java, Python, C#, Arduino, C# For Intermediates, Arduino For Intermediates Learn Any Computer Language In One Day Step by Step (#2022 Version)",Steve Tudor,Russell Newton,$29.95,https://m.media-amazon.com/images/I/51nNTBRwXlL._SL500_.jpg
Data Science for Beginners: 4 Books in 1: Master the Basics of Python Programming and Learn The Art of Data Science with Real-World Applications to Artificial Intelligence and Machine Learning,Andrew Park,Russell Newton,$24.95,https://m.media-amazon.com/images/I/51ERDIXi8UL._SL500_.jpg
My Robot Gets Me,Carla Diana,Justis Bolding,$20.99,https://m.media-amazon.com/images/I/41FYdaK3+NS._SL500_.jpg
SQL for Beginners and More: 2 Books in 1,Johnny Page,Austin R. Stoler,$19.95,https://m.media-amazon.com/images/I/51-+GVp6kKL._SL500_.jpg
The Accidental Billionaires,Ben Mezrich,Mike Chamberlain,$27.93,https://m.media-amazon.com/images/I/51kBkjaRRnL._SL500_.jpg
Computer Programming for Beginners: 3 Books in 1,Kevin Cooper,Tyler McGuire,$24.95,https://m.media-amazon.com/images/I/51tetBg2YIS._SL500_.jpg
Python: 3 Books in 1,Andy Vickler,Helpful Matthew,$24.95,https://m.media-amazon.com/images/I/51-L85XLQsL._SL500_.jpg
Java Back End Programming,Andy Vickler,Helpful Matthew,$19.95,https://m.media-amazon.com/images/I/41gvQSzI-UL._SL500_.jpg
Azure Bundle: Two Manuscripts in One Book,Joseph K. Brown,Dustin Thomas,$19.95,https://m.media-amazon.com/images/I/51c8Y9fVzjL._SL500_.jpg
C#: 2 Books in 1: Beginners and Intermediate Guide in C# Programming,Zach Webber,William Bahl,$6.95,https://m.media-amazon.com/images/I/51Wvp-tidzL._SL500_.jpg
